"clip.id"	"folder.file.id"	"start.time"	"url"
"ACP000gots"	"TaiEast_1_loc29_20141118_EK000041"	0	"http://www.chimpandsee.org/subjects/570d10693fc33c0001bf7329/570d10693fc33c0001bf7329.mp4"
"ACP000gork"	"TaiEast_1_loc29_20141118_EK000050"	0	"http://www.chimpandsee.org/subjects/570d10643fc33c0001bf72d9/570d10643fc33c0001bf72d9.mp4"
"ACP000goto"	"TaiEast_1_loc29_20141118_EK000054"	0	"http://www.chimpandsee.org/subjects/570d10693fc33c0001bf7325/570d10693fc33c0001bf7325.mp4"
"ACP000gox8"	"TaiEast_1_loc29_20141118_EK000055"	0	"http://www.chimpandsee.org/subjects/570d10703fc33c0001bf73a5/570d10703fc33c0001bf73a5.mp4"
"ACP000gos8"	"TaiEast_1_loc29_20141118_EK000059"	0	"http://www.chimpandsee.org/subjects/570d10653fc33c0001bf72f1/570d10653fc33c0001bf72f1.mp4"
"ACP000goxh"	"TaiEast_1_loc29_20141118_EK000061"	0	"http://www.chimpandsee.org/subjects/570d10703fc33c0001bf73ae/570d10703fc33c0001bf73ae.mp4"
"ACP000gosg"	"TaiEast_1_loc29_20141118_EK000064"	0	"http://www.chimpandsee.org/subjects/570d10663fc33c0001bf72f9/570d10663fc33c0001bf72f9.mp4"
"ACP000espj"	"TaiEast_1_loc29_20150121_EK000034"	15	"http://www.chimpandsee.org/subjects/570cfc443fc33c0001be1a24/570cfc443fc33c0001be1a24.mp4"
"ACP000esuq"	"TaiEast_1_loc29_20150121_EK000040"	0	"http://www.chimpandsee.org/subjects/570cfc4f3fc33c0001be1adf/570cfc4f3fc33c0001be1adf.mp4"
"ACP000esus"	"TaiEast_1_loc29_20150121_EK000040"	30	"http://www.chimpandsee.org/subjects/570cfc4f3fc33c0001be1ae1/570cfc4f3fc33c0001be1ae1.mp4"
"ACP000esut"	"TaiEast_1_loc29_20150121_EK000040"	45	"http://www.chimpandsee.org/subjects/570cfc4f3fc33c0001be1ae2/570cfc4f3fc33c0001be1ae2.mp4"
"ACP000esol"	"TaiEast_1_loc29_20150121_EK000083"	0	"http://www.chimpandsee.org/subjects/570cfc433fc33c0001be1a02/570cfc433fc33c0001be1a02.mp4"
"ACP000esoq"	"TaiEast_1_loc29_20150121_EK000083"	30	"http://www.chimpandsee.org/subjects/570cfc433fc33c0001be1a07/570cfc433fc33c0001be1a07.mp4"
"ACP000esw2"	"TaiEast_1_loc29_20150121_EK000084"	0	"http://www.chimpandsee.org/subjects/570cfc523fc33c0001be1b0f/570cfc523fc33c0001be1b0f.mp4"
"ACP000esyq"	"TaiEast_1_loc29_20150121_EK000119"	0	"http://www.chimpandsee.org/subjects/570cfc573fc33c0001be1b6f/570cfc573fc33c0001be1b6f.mp4"
"ACP000esyr"	"TaiEast_1_loc29_20150121_EK000119"	15	"http://www.chimpandsee.org/subjects/570cfc573fc33c0001be1b70/570cfc573fc33c0001be1b70.mp4"
"ACP000esys"	"TaiEast_1_loc29_20150121_EK000119"	30	"http://www.chimpandsee.org/subjects/570cfc573fc33c0001be1b71/570cfc573fc33c0001be1b71.mp4"
"ACP000esyt"	"TaiEast_1_loc29_20150121_EK000119"	45	"http://www.chimpandsee.org/subjects/570cfc573fc33c0001be1b72/570cfc573fc33c0001be1b72.mp4"
"ACP000espe"	"TaiEast_1_loc29_20150121_EK000121"	0	"http://www.chimpandsee.org/subjects/570cfc443fc33c0001be1a1f/570cfc443fc33c0001be1a1f.mp4"
"ACP000glep"	"TaiEast_10_loc33_20140628_EK000010"	15	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61da/570d0f663fc33c0001bf61da.mp4"
"ACP000glfj"	"TaiEast_10_loc33_20140628_EK000012"	15	"http://www.chimpandsee.org/subjects/570d0f683fc33c0001bf61f8/570d0f683fc33c0001bf61f8.mp4"
"ACP000glfk"	"TaiEast_10_loc33_20140628_EK000012"	30	"http://www.chimpandsee.org/subjects/570d0f683fc33c0001bf61f9/570d0f683fc33c0001bf61f9.mp4"
"ACP000glez"	"TaiEast_10_loc33_20140628_EK000014"	15	"http://www.chimpandsee.org/subjects/570d0f673fc33c0001bf61e4/570d0f673fc33c0001bf61e4.mp4"
"ACP000glf0"	"TaiEast_10_loc33_20140628_EK000014"	30	"http://www.chimpandsee.org/subjects/570d0f673fc33c0001bf61e5/570d0f673fc33c0001bf61e5.mp4"
"ACP000glf1"	"TaiEast_10_loc33_20140628_EK000014"	45	"http://www.chimpandsee.org/subjects/570d0f673fc33c0001bf61e6/570d0f673fc33c0001bf61e6.mp4"
"ACP000glge"	"TaiEast_10_loc33_20140628_EK000015"	0	"http://www.chimpandsee.org/subjects/570d0f6a3fc33c0001bf6217/570d0f6a3fc33c0001bf6217.mp4"
"ACP000glgi"	"TaiEast_10_loc33_20140628_EK000015"	30	"http://www.chimpandsee.org/subjects/570d0f6a3fc33c0001bf621b/570d0f6a3fc33c0001bf621b.mp4"
"ACP000glf7"	"TaiEast_10_loc33_20140628_EK000016"	15	"http://www.chimpandsee.org/subjects/570d0f673fc33c0001bf61ec/570d0f673fc33c0001bf61ec.mp4"
"ACP000gles"	"TaiEast_10_loc33_20140628_EK000018"	45	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61dd/570d0f663fc33c0001bf61dd.mp4"
"ACP000glef"	"TaiEast_10_loc33_20140628_EK000019"	0	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61d0/570d0f663fc33c0001bf61d0.mp4"
"ACP000gleh"	"TaiEast_10_loc33_20140628_EK000019"	15	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61d2/570d0f663fc33c0001bf61d2.mp4"
"ACP000glej"	"TaiEast_10_loc33_20140628_EK000019"	30	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61d4/570d0f663fc33c0001bf61d4.mp4"
"ACP000glel"	"TaiEast_10_loc33_20140628_EK000019"	45	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61d6/570d0f663fc33c0001bf61d6.mp4"
"ACP000gla2"	"TaiEast_10_loc34_20140709_EK000011"	0	"http://www.chimpandsee.org/subjects/570d0f5d3fc33c0001bf6133/570d0f5d3fc33c0001bf6133.mp4"
"ACP000glby"	"TaiEast_10_loc34_20140709_EK000014"	0	"http://www.chimpandsee.org/subjects/570d0f613fc33c0001bf6177/570d0f613fc33c0001bf6177.mp4"
"ACP000glba"	"TaiEast_10_loc34_20140709_EK000017"	0	"http://www.chimpandsee.org/subjects/570d0f603fc33c0001bf615f/570d0f603fc33c0001bf615f.mp4"
"ACP000glae"	"TaiEast_10_loc34_20140709_EK000023"	0	"http://www.chimpandsee.org/subjects/570d0f5e3fc33c0001bf613f/570d0f5e3fc33c0001bf613f.mp4"
"ACP000glbo"	"TaiEast_10_loc34_20140709_EK000024"	30	"http://www.chimpandsee.org/subjects/570d0f603fc33c0001bf616d/570d0f603fc33c0001bf616d.mp4"
